"X","Y","OBJECTID","EVENT_UNIQUE_ID","REPORT_DATE","OCC_DATE","REPORT_YEAR","REPORT_MONTH","REPORT_DAY","REPORT_DOY","REPORT_DOW","REPORT_HOUR","OCC_YEAR","OCC_MONTH","OCC_DAY","OCC_DOY","OCC_DOW","OCC_HOUR","DIVISION","LOCATION_TYPE","PREMISES_TYPE","UCR_CODE","UCR_EXT","OFFENCE","MCI_CATEGORY","HOOD_158","NEIGHBOURHOOD_158","HOOD_140","NEIGHBOURHOOD_140","LONG_WGS84","LAT_WGS84"
-8849093.4655436,5414421.82116105,395667,"GO-20241357338","2024/06/22 05:00:00+00","2024/06/22 05:00:00+00",2024,"June",22,174,"Saturday  ",0,2024,"June",22,174,"Saturday  ",0,"D12","Single Home, House (Attach Garage, Cottage, Mobile)","House",1430,100,"Assault","Assault","111","Rockcliffe-Smythe (111)","111","Rockcliffe-Smythe (111)",-79.492759106868,43.6693936417599
-8843858.44529721,5413729.58276663,395668,"GO-20241356959","2024/06/22 05:00:00+00","2024/06/21 05:00:00+00",2024,"June",22,174,"Saturday  ",0,2024,"June",21,173,"Friday    ",23,"D11","Parking Lots (Apt., Commercial Or Non-Commercial)","Outside",1610,180,"Robbery - Swarming","Robbery","171","Junction-Wallace Emerson (171)","093","Dovercourt-Wallace Emerson-Junction (93)",-79.4457321202746,43.6648954203102
-8836642.80785389,5412410.7794823,395669,"GO-20241364525","2024/06/22 05:00:00+00","2024/06/22 05:00:00+00",2024,"June",22,174,"Saturday  ",22,2024,"June",22,174,"Saturday  ",22,"D52","Ttc Subway Station","Transit",1460,100,"Assault Peace Officer","Assault","168","Downtown Yonge East (168)","075","Church-Yonge Corridor (75)",-79.3809129463861,43.6563247954285
-8838110.10917149,5411838.43869834,395670,"GO-20241362311","2024/06/22 05:00:00+00","2024/06/22 05:00:00+00",2024,"June",22,174,"Saturday  ",19,2024,"June",22,174,"Saturday  ",17,"D52","Apartment (Rooming House, Condo)","Apartment",1420,100,"Assault With Weapon","Assault","078","Kensington-Chinatown (78)","078","Kensington-Chinatown (78)",-79.3940939381367,43.6526048919613
-8830302.43782938,5416694.95982201,395671,"GO-20241363148","2024/06/22 05:00:00+00","2024/06/22 05:00:00+00",2024,"June",22,174,"Saturday  ",19,2024,"June",22,174,"Saturday  ",17,"D55","Ttc Subway Train","Transit",1430,100,"Assault","Assault","066","Danforth (66)","066","Danforth (66)",-79.3239564331137,43.6841623131323
-8835407.08413904,5410751.52094773,395672,"GO-20241363821","2024/06/22 05:00:00+00","2024/06/22 05:00:00+00",2024,"June",22,174,"Saturday  ",20,2024,"June",22,174,"Saturday  ",19,"D51","Streets, Roads, Highways (Bicycle Path, Private Road)","Outside",1420,100,"Assault With Weapon","Assault","166","St Lawrence-East Bayfront-The Islands ","077","Waterfront Communities-The Island (77)",-79.3698122506791,43.6455398846435
-8859055.91409391,5417471.80050601,395673,"GO-20241358925","2024/06/22 05:00:00+00","2024/06/21 05:00:00+00",2024,"June",22,174,"Saturday  ",9,2024,"June",21,173,"Friday    ",20,"D23","Parking Lots (Apt., Commercial Or Non-Commercial)","Outside",2135,210,"Theft Of Motor Vehicle","Auto Theft","001","West Humber-Clairville (1)","001","West Humber-Clairville (1)",-79.5822533054013,43.6892086437043
-8844435.59143863,5430273.85451028,395674,"GO-20241358651","2024/06/22 05:00:00+00","2024/06/21 05:00:00+00",2024,"June",22,174,"Saturday  ",7,2024,"June",21,173,"Friday    ",22,"D32","Parking Lots (Apt., Commercial Or Non-Commercial)","Outside",2132,200,"Theft From Motor Vehicle Over","Theft Over","035","Westminster-Branson (35)","035","Westminster-Branson (35)",-79.4509167115682,43.7723092085178
-8832505.45322384,5430824.64629674,395675,"GO-20241369257","2024/06/23 05:00:00+00","2024/06/23 05:00:00+00",2024,"June",23,175,"Sunday    ",15,2024,"June",23,175,"Sunday    ",15,"D33","Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg","Commercial",1420,100,"Assault With Weapon","Assault","047","Don Valley Village (47)","047","Don Valley Village (47)",-79.343746456519,43.7758819156433
-8831177.51188622,5427182.410119,395676,"GO-20241369406","2024/06/23 05:00:00+00","2024/06/23 05:00:00+00",2024,"June",23,175,"Sunday    ",16,2024,"June",23,175,"Sunday    ",16,"D33","Apartment (Rooming House, Condo)","Apartment",1430,100,"Assault","Assault","150","Fenside-Parkwoods (150)","045","Parkwoods-Donalda (45)",-79.3318173572692,43.75225261573
-8854447.08479623,5406475.11348414,395677,"GO-20241370440","2024/06/23 05:00:00+00","2024/06/23 05:00:00+00",2024,"June",23,175,"Sunday    ",18,2024,"June",23,175,"Sunday    ",18,"D22","Commercial Dwelling Unit (Hotel, Motel, B & B, Short Term Rental)","Commercial",1610,210,"Robbery - Business","Robbery","159","Etobicoke City Centre (159)","014","Islington-City Centre West (14)",-79.5408514872457,43.6177350060412
-8830298.14713092,5434440.15725998,395678,"GO-20241369648","2024/06/23 05:00:00+00","2024/06/23 05:00:00+00",2024,"June",23,175,"Sunday    ",16,2024,"June",23,175,"Sunday    ",16,"D42","Streets, Roads, Highways (Bicycle Path, Private Road)","Outside",1610,220,"Robbery - Other","Robbery","147","L'Amoreaux West (147)","117","L'Amoreaux (117)",-79.3239178890653,43.7993286033782
-8852809.26617508,5428696.35490845,395679,"GO-20241369100","2024/06/23 05:00:00+00","2024/01/01 05:00:00+00",2024,"June",23,175,"Sunday    ",0,2024,"January",1,1,"Monday    ",0,"D31","Single Home, House (Attach Garage, Cottage, Mobile)","House",2130,210,"Theft Over","Theft Over","024","Black Creek (24)","024","Black Creek (24)",-79.5261387122807,43.7620755875628
-8832505.45322384,5430824.64629674,395680,"GO-20241369257","2024/06/23 05:00:00+00","2024/06/23 05:00:00+00",2024,"June",23,175,"Sunday    ",15,2024,"June",23,175,"Sunday    ",15,"D33","Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg","Commercial",1610,100,"Robbery With Weapon","Robbery","047","Don Valley Village (47)","047","Don Valley Village (47)",-79.343746456519,43.7758819156433
-8814822.34632271,5429128.79445566,395681,"GO-20241372273","2024/06/23 05:00:00+00","2024/06/23 05:00:00+00",2024,"June",23,175,"Sunday    ",23,2024,"June",23,175,"Sunday    ",23,"D43","Streets, Roads, Highways (Bicycle Path, Private Road)","Outside",1450,100,"Discharge Firearm - Recklessly","Assault","136","West Hill (136)","136","West Hill (136)",-79.1848964054359,43.7648811019153
